GENDER,AGE_GRP,JOB_NM,TRAVEL_TERM,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE,TRAVEL_COMPANIONS_NUM,TRAVEL_ID
여,30,판매 종사자,1년,50110,42820,42150,자연 선호(약),자연 선호(중),자연 선호(중),도시 선호(중),자연 선호(중),도시 선호(중),자연 선호(중),도시 선호(중),서울특별시,대전,나홀로 여행,"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",0,g_g010838
남,30,사무 종사자,한달,43800,42210,47130,자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(약),자연 선호(중),자연 선호(중),도시 선호(중),도시 선호(강),경기도,충북,자녀 동반 여행,새로운 경험 추구,3,g_g002416
남,40,전문가 및 관련 종사자,한달,44150,30200,44790,자연 선호(강),중립,자연 선호(약),자연 선호(약),자연 선호(약),자연 선호(약),자연 선호(중),도시 선호(중),충청남도,충남,2인 가족 여행,여행 동반자와의 친밀감 및 유대감 증진,1,g_g007354
남,40,사무 종사자,한달,50130,42210,41830,자연 선호(강),자연 선호(강),자연 선호(강),도시 선호(약),자연 선호(약),자연 선호(중),도시 선호(중),자연 선호(약),서울특별시,충북,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g002159
여,30,서비스 종사자,한달,26710,42210,42170,자연 선호(중),중립,자연 선호(강),중립,도시 선호(중),중립,자연 선호(약),도시 선호(중),경상남도,전남,2인 여행(가족 외),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식",1,g_g000952
여,30,전문가 및 관련 종사자,1년,11680,47130,42150,중립,자연 선호(강),자연 선호(중),자연 선호(중),자연 선호(약),자연 선호(중),중립,도시 선호(중),광주광역시,전북,2인 가족 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g003224
여,30,기능원 및 관련 기능 종사자,한달,29155,31140,26350,도시 선호(중),자연 선호(중),중립,자연 선호(중),자연 선호(중),중립,자연 선호(약),도시 선호(중),부산광역시,전북,2인 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,1,g_g005932
남,40,사무 종사자,한달,43110,44230,11680,중립,중립,도시 선호(약),자연 선호(약),중립,중립,중립,도시 선호(중),충청북도,충북,2인 여행(가족 외),SNS 사진 등록 등 과시,1,g_g005034
남,20,서비스 종사자,1년,50110,42150,26140,자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(중),도시 선호(중),자연 선호(약),도시 선호(중),중립,서울특별시,전북,2인 여행(가족 외),새로운 경험 추구,1,g_g010950
여,30,학생,1년,50110,11110,28185,도시 선호(중),자연 선호(약),중립,자연 선호(약),중립,도시 선호(약),중립,중립,전라북도,전북,2인 가족 여행,"일상적인 환경 및 역할에서의 탈출, 지루함 탈피",1,g_g011194
남,30,관리자,한달,42150,42820,42760,자연 선호(강),도시 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),자연 선호(강),도시 선호(강),인천광역시,전남,3인 이상 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,3,g_g002854
남,50,전문가 및 관련 종사자,1년,50130,45730,46900,자연 선호(약),중립,자연 선호(중),자연 선호(중),도시 선호(약),자연 선호(약),도시 선호(중),자연 선호(중),광주광역시,전남,3인 이상 여행(가족 외),여행 동반자와의 친밀감 및 유대감 증진,3,g_g002764
남,40,사무 종사자,한달,11560,43800,42210,자연 선호(약),자연 선호(중),자연 선호(중),중립,도시 선호(중),중립,자연 선호(중),도시 선호(약),인천광역시,충북,나홀로 여행,"운동, 건강 증진 및 충전",0,g_g000678
