TRAVEL_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,TRAVEL_MISSION_CHECK
g_g011148,드라마 촬영지 방문;SNS 인생샷 여행;역사 유적지 방문;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가,2023-09-09,2023-09-10,"지역 축제/이벤트 참가;테마파크, 놀이시설, 동/식물원 방문;지역 문화예술/공연/전시시설 관람"
g_g011161,쇼핑;교육/체험 프로그램 참가;SNS 인생샷 여행;역사 유적지 방문;지역 문화예술/공연/전시시설 관람,2023-09-03,2023-09-04,역사 유적지 방문;교육/체험 프로그램 참가;Well-ness 여행
g_g011162,"온천/스파;테마파크, 놀이시설, 동/식물원 방문",2023-09-03,2023-09-04,"온천/스파;테마파크, 놀이시설, 동/식물원 방문;쇼핑"
g_g011163,Well-ness 여행;SNS 인생샷 여행;인플루언서 따라하기 여행;유흥/오락(나이트라이프);지역 축제/이벤트 참가,2023-09-01,2023-09-02,지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가;Well-ness 여행
g_g011164,"쇼핑;온천/스파;테마파크, 놀이시설, 동/식물원 방문;시티투어;지역 문화예술/공연/전시시설 관람",2023-09-05,2023-09-06,"테마파크, 놀이시설, 동/식물원 방문;쇼핑;지역 문화예술/공연/전시시설 관람"
g_g011166,Well-ness 여행;SNS 인생샷 여행;역사 유적지 방문;지역 문화예술/공연/전시시설 관람,2023-09-02,2023-09-03,지역 문화예술/공연/전시시설 관람;Well-ness 여행;SNS 인생샷 여행
g_g011171,역사 유적지 방문;지역 문화예술/공연/전시시설 관람;SNS 인생샷 여행,2023-09-08,2023-09-09,"지역 축제/이벤트 참가;지역 문화예술/공연/전시시설 관람;테마파크, 놀이시설, 동/식물원 방문"
g_g011173,쇼핑;Well-ness 여행;SNS 인생샷 여행;역사 유적지 방문;지역 문화예술/공연/전시시설 관람,2023-09-19,2023-09-20,지역 문화예술/공연/전시시설 관람;SNS 인생샷 여행;Well-ness 여행
g_g011188,쇼핑,2023-09-13,2023-09-14,쇼핑;시티투어;신규 여행지 발굴
g_g011189,SNS 인생샷 여행,2023-09-20,2023-09-21,SNS 인생샷 여행;인플루언서 따라하기 여행;시티투어
g_g011192,"쇼핑;드라마 촬영지 방문;테마파크, 놀이시설, 동/식물원 방문;지역 문화예술/공연/전시시설 관람",2023-09-07,2023-09-08,"테마파크, 놀이시설, 동/식물원 방문;지역 문화예술/공연/전시시설 관람;쇼핑"
g_g011194,"드라마 촬영지 방문;테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행",2023-09-07,2023-09-08,"테마파크, 놀이시설, 동/식물원 방문;드라마 촬영지 방문;SNS 인생샷 여행"
g_g011197,Well-ness 여행;SNS 인생샷 여행;반려동물 동반 여행;캠핑,2023-09-05,2023-09-06,캠핑;SNS 인생샷 여행;Well-ness 여행
g_g011200,SNS 인생샷 여행;신규 여행지 발굴;역사 유적지 방문;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가,2023-09-02,2023-09-03,지역 축제/이벤트 참가;신규 여행지 발굴;역사 유적지 방문
g_g011207,"쇼핑;역사 유적지 방문;시티투어;야외 스포츠, 레포츠 활동;지역 문화예술/공연/전시시설 관람",2023-09-17,2023-09-18,"야외 스포츠, 레포츠 활동;역사 유적지 방문;신규 여행지 발굴"
g_g011212,역사 유적지 방문,2023-09-18,2023-09-19,역사 유적지 방문;종교/성지 순례;친환경 여행(플로깅 여행)
g_g011228,쇼핑;Well-ness 여행;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행,2023-09-09,2023-09-10,지역 축제/이벤트 참가;역사 유적지 방문;지역 문화예술/공연/전시시설 관람
g_g011229,"테마파크, 놀이시설, 동/식물원 방문;SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행;시티투어",2023-09-02,2023-09-03,"테마파크, 놀이시설, 동/식물원 방문;시티투어;쇼핑"
g_g011232,SNS 인생샷 여행;신규 여행지 발굴;시티투어;지역 문화예술/공연/전시시설 관람;유흥/오락(나이트라이프),2023-09-09,2023-09-10,쇼핑;SNS 인생샷 여행;인플루언서 따라하기 여행
g_g011233,쇼핑;교육/체험 프로그램 참가;SNS 인생샷 여행;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가,2023-09-06,2023-09-07,시티투어;지역 문화예술/공연/전시시설 관람;지역 축제/이벤트 참가
g_g011239,드라마 촬영지 방문;SNS 인생샷 여행;신규 여행지 발굴;반려동물 동반 여행;역사 유적지 방문,2023-09-06,2023-09-07,반려동물 동반 여행;역사 유적지 방문;SNS 인생샷 여행
g_g011242,SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행,2023-09-03,2023-09-04,SNS 인생샷 여행;신규 여행지 발굴;인플루언서 따라하기 여행
g_g011254,"테마파크, 놀이시설, 동/식물원 방문",2023-09-24,2023-09-25,"테마파크, 놀이시설, 동/식물원 방문;신규 여행지 발굴;등반 여행"
g_g011255,지역 축제/이벤트 참가,2023-09-23,2023-09-24,지역 축제/이벤트 참가;역사 유적지 방문;교육/체험 프로그램 참가
g_g011268,쇼핑;Well-ness 여행;SNS 인생샷 여행;역사 유적지 방문;유흥/오락(나이트라이프),2023-09-06,2023-09-07,Well-ness 여행;쇼핑;역사 유적지 방문
g_g011274,쇼핑;SNS 인생샷 여행;지역 축제/이벤트 참가;신규 여행지 발굴;친환경 여행(플로깅 여행),2023-09-02,2023-09-03,지역 축제/이벤트 참가;친환경 여행(플로깅 여행);쇼핑
