TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP
g_g000610,"친목 단체/모임(동호회, 종교단체 등)",남자,50대
g_g000610,"친목 단체/모임(동호회, 종교단체 등)",여자,40대
g_g000610,배우자,남자,50대
g_g000610,"친목 단체/모임(동호회, 종교단체 등)",남자,50대
g_g000611,친구,남자,30대
g_g000614,배우자,남자,30대
g_g000618,부모,여자,60대
g_g000618,조부모,여자,70세이상
g_g000618,형제/자매,여자,30대
g_g000619,자녀,남자,20대
g_g000619,배우자,남자,40대
g_g000619,자녀,남자,20대
g_g000622,배우자,여자,30대
g_g000622,자녀,남자,~9세이하
g_g000629,자녀,남자,10대
g_g000629,배우자,남자,40대
g_g000629,자녀,남자,~9세이하
g_g000636,친구,남자,30대
g_g000636,친구,여자,30대
g_g000636,연인,남자,20대
g_g000637,자녀,남자,~9세이하
g_g000637,배우자,남자,30대
g_g000637,자녀,남자,~9세이하
g_g000638,부모,여자,50대
g_g000639,연인,남자,30대
g_g000642,배우자,여자,30대
g_g000642,자녀,남자,~9세이하
g_g000642,자녀,여자,10대
g_g000643,배우자,여자,30대
g_g000648,친구,여자,20대
g_g000651,배우자,남자,30대
g_g000653,배우자,남자,40대
g_g000653,자녀,여자,~9세이하
g_g000653,자녀,남자,10대
g_g000654,자녀,남자,~9세이하
g_g000654,배우자,남자,30대
g_g000654,자녀,여자,~9세이하
g_g000657,배우자,남자,30대
g_g000657,자녀,여자,~9세이하
g_g000657,자녀,남자,~9세이하
g_g000658,부모,여자,70세이상
g_g000658,배우자,여자,50대
g_g000665,자녀,여자,~9세이하
g_g000665,배우자,남자,30대
g_g000670,배우자,남자,40대
g_g000670,자녀,남자,~9세이하
g_g000670,자녀,남자,~9세이하
g_g000672,배우자,남자,40대
g_g000672,자녀,여자,~9세이하
g_g000672,자녀,남자,~9세이하
g_g000675,자녀,여자,~9세이하
g_g000675,배우자,남자,30대
g_g000675,자녀,남자,~9세이하
g_g000680,배우자,여자,40대
g_g000680,자녀,남자,~9세이하
g_g000680,자녀,여자,~9세이하
g_g000681,자녀,여자,~9세이하
g_g000681,배우자,남자,30대
g_g000681,자녀,여자,~9세이하
g_g000685,연인,여자,30대
g_g000687,자녀,남자,10대
g_g000687,배우자,남자,40대
g_g000688,배우자,남자,50대
g_g000688,자녀,남자,10대
g_g000695,친구,여자,30대
g_g000695,친구,여자,30대
g_g000695,친구,여자,30대
g_g000698,형제/자매,여자,20대
g_g000698,배우자,남자,30대
g_g000698,부모,여자,50대
g_g000701,연인,남자,20대
g_g000702,자녀,남자,10대
g_g000702,부모,여자,70세이상
g_g000702,자녀,남자,10대
g_g000714,친구,여자,30대
g_g000716,배우자,남자,30대
g_g000717,조부모,여자,70세이상
g_g000717,형제/자매,여자,30대
g_g000717,부모,여자,60대
g_g000719,자녀,남자,~9세이하
g_g000719,배우자,남자,40대
g_g000722,자녀,남자,~9세이하
g_g000722,배우자,남자,40대
g_g000722,자녀,남자,~9세이하
g_g000727,배우자,여자,30대
g_g000727,자녀,여자,~9세이하
g_g000730,배우자,남자,30대
g_g000730,자녀,여자,~9세이하
g_g000730,자녀,여자,~9세이하
g_g000732,자녀,여자,~9세이하
g_g000732,배우자,남자,30대
g_g000734,자녀,남자,~9세이하
g_g000734,부모,여자,60대
g_g000734,배우자,남자,30대
g_g000734,부모,남자,60대
g_g000735,자녀,여자,~9세이하
g_g000735,자녀,여자,~9세이하
g_g000736,자녀,여자,~9세이하
g_g000736,자녀,여자,~9세이하
g_g000736,배우자,여자,30대
g_g000742,친구,여자,20대
g_g000742,친구,여자,20대
g_g000742,친구,남자,20대
g_g000743,배우자,여자,30대
g_g000743,자녀,여자,~9세이하
g_g000743,자녀,남자,~9세이하
g_g000747,자녀,남자,~9세이하
g_g000747,부모,여자,60대
g_g000751,배우자,남자,30대
g_g000754,친구,여자,50대
g_g000754,친구,여자,50대
g_g000754,친구,여자,50대
g_g000756,"친목 단체/모임(동호회, 종교단체 등)",남자,60대
g_g000756,"친목 단체/모임(동호회, 종교단체 등)",남자,60대
g_g000756,"친목 단체/모임(동호회, 종교단체 등)",남자,70세이상
g_g000758,연인,여자,20대
g_g000769,자녀,여자,~9세이하
g_g000769,배우자,남자,40대
g_g000770,배우자,여자,30대
g_g000773,친구,여자,30대
g_g000775,자녀,남자,~9세이하
g_g000775,배우자,남자,40대
g_g000776,조부모,여자,70세이상
g_g000776,부모,여자,50대
g_g000779,친구,여자,30대
g_g000779,친구,여자,20대
g_g000781,자녀,여자,~9세이하
g_g000781,자녀,여자,~9세이하
g_g000781,배우자,여자,40대
g_g000781,자녀,여자,~9세이하
g_g000781,자녀,여자,~9세이하
