TRAVEL_ID,KTX/SRT(고속열차),관광버스,기타,렌터카(승용/승합/버스 등등),배/선박,버스 + 지하철,새마을/무궁화열차,시내/마을버스,시외/고속버스,자가용(승용/승합/트럭 등등),자전거,지하철,캠핑카(자차 및 렌탈),택시,항공기,MAJOR_TRANSPORT,TOTAL_MVMN_WON
g_g000569,0,0,0,0,0,0,0,0,0,200000,0,1250,0,0,0,"['자가용(승용/승합/트럭 등등)', '지하철']",201250
g_g000570,0,0,0,0,0,0,0,0,0,110000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],110000
g_g000571,0,0,0,0,0,0,0,0,0,297000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],297000
g_g000572,0,0,0,0,0,0,0,0,0,67200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],67200
g_g000577,0,0,0,0,0,0,0,0,0,135000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],135000
g_g000581,0,0,0,0,0,0,0,0,0,77600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],77600
g_g000582,0,0,0,0,0,0,0,0,0,80000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],80000
g_g000585,0,0,0,0,0,0,0,0,0,34700,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],34700
g_g000590,0,0,0,0,0,0,0,0,0,115600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],115600
g_g000592,0,0,0,0,50000,0,0,0,0,64000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],114000
g_g000602,0,0,0,0,0,0,0,0,0,68044,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],68044
g_g000604,0,0,0,0,0,0,0,0,0,91300,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],91300
g_g000605,0,0,0,0,0,0,0,0,0,93800,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],93800
g_g000606,0,0,0,0,0,0,0,0,0,59400,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],59400
g_g000607,0,0,0,0,0,0,0,0,0,48200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],48200
g_g000610,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],20000
g_g000611,0,0,0,0,0,0,0,0,0,80550,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],80550
g_g000612,0,0,0,0,0,0,0,0,8800,0,0,0,0,0,0,['시외/고속버스'],8800
g_g000614,0,0,0,0,0,0,0,0,0,27965,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],27965
g_g000618,0,0,0,0,0,0,0,0,0,122100,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],122100
g_g000619,0,0,0,0,0,0,0,0,0,61000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],61000
g_g000622,0,0,0,0,0,0,0,0,0,56200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],56200
g_g000624,0,0,0,0,0,0,23800,1250,0,0,0,0,0,11200,0,"['새마을/무궁화열차', '시내/마을버스', '택시']",36250
g_g000628,0,0,0,0,0,0,23400,0,0,50000,0,2500,0,0,0,['새마을/무궁화열차'],75900
g_g000629,0,0,0,0,0,0,0,0,0,81200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],81200
g_g000636,0,0,0,0,0,0,0,0,0,57200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],57200
g_g000637,0,0,0,0,0,0,0,0,0,26800,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],26800
g_g000638,0,0,0,0,375740,0,0,0,0,54200,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],429940
g_g000639,0,0,0,22900,0,0,48000,0,0,0,0,0,0,11000,0,['택시'],81900
g_g000642,0,0,0,0,0,0,0,0,0,67600,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],67600
g_g000643,0,0,0,0,0,0,0,0,0,0,0,0,0,28400,0,"['관광버스', '택시']",28400
g_g000648,0,0,0,0,0,0,0,0,50100,0,0,0,0,20600,0,['택시'],70700
g_g000651,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,['자가용(승용/승합/트럭 등등)'],20000
