TRAVEL_ID,MAJOR_ACTIVITY_TYPE
g_g001191,['단순 구경 / 산책 / 걷기']
g_g001194,['취식']
g_g001196,['단순 구경 / 산책 / 걷기']
g_g001197,['취식']
g_g001199,['취식']
g_g001200,['취식']
g_g001203,['취식']
g_g001204,['취식']
g_g001206,['취식']
g_g001208,['취식']
g_g001209,['단순 구경 / 산책 / 걷기']
g_g001219,['취식']
g_g001221,['취식']
g_g001222,['취식']
g_g001223,['취식']
g_g001224,['취식']
g_g001225,['취식']
g_g001227,"['단순 구경 / 산책 / 걷기', '쇼핑 / 구매', '체험 활동 / 입장 및 관람']"
g_g001230,['취식']
g_g001231,['쇼핑 / 구매']
g_g001233,['취식']
g_g001235,['취식']
g_g001237,['취식']
g_g001243,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식']"
g_g001250,['취식']
g_g001256,['취식']
g_g001257,"['취식', '휴식']"
g_g001258,['취식']
g_g001261,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001272,['단순 구경 / 산책 / 걷기']
g_g001273,['체험 활동 / 입장 및 관람']
g_g001276,['단순 구경 / 산책 / 걷기']
g_g001280,"['쇼핑 / 구매', '취식']"
g_g001288,"['기타 활동', '단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식', '환승/경유', '휴식']"
g_g001289,['단순 구경 / 산책 / 걷기']
g_g001290,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001291,['체험 활동 / 입장 및 관람']
g_g001293,['취식']
g_g001296,['취식']
g_g001297,"['쇼핑 / 구매', '휴식']"
g_g001299,"['취식', '휴식']"
g_g001300,['취식']
g_g001301,['취식']
g_g001305,"['쇼핑 / 구매', '취식']"
g_g001309,['취식']
g_g001313,['취식']
g_g001315,['취식']
g_g001319,['취식']
g_g001320,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001322,"['단순 구경 / 산책 / 걷기', '취식', '휴식']"
g_g001323,"['기타 활동', '체험 활동 / 입장 및 관람', '취식']"
g_g001329,['취식']
g_g001337,['환승/경유']
g_g001338,['취식']
g_g001343,['취식']
g_g001344,['취식']
g_g001346,['체험 활동 / 입장 및 관람']
g_g001350,['체험 활동 / 입장 및 관람']
g_g001352,['취식']
g_g001353,['환승/경유']
g_g001356,['취식']
g_g001362,['취식']
g_g001364,['취식']
g_g001371,['쇼핑 / 구매']
g_g001374,['취식']
g_g001381,"['단순 구경 / 산책 / 걷기', '쇼핑 / 구매', '휴식']"
g_g001383,['취식']
g_g001386,"['체험 활동 / 입장 및 관람', '취식']"
g_g001388,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식', '휴식']"
g_g001390,['휴식']
g_g001556,['쇼핑 / 구매']
g_g001563,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001564,['체험 활동 / 입장 및 관람']
g_g001565,['환승/경유']
g_g001566,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식']"
g_g001567,"['체험 활동 / 입장 및 관람', '취식']"
g_g001575,['취식']
g_g001576,['단순 구경 / 산책 / 걷기']
g_g001580,"['쇼핑 / 구매', '체험 활동 / 입장 및 관람']"
g_g001584,['취식']
g_g001587,['취식']
g_g001590,['단순 구경 / 산책 / 걷기']
g_g001598,['휴식']
g_g001599,['단순 구경 / 산책 / 걷기']
g_g001603,['취식']
g_g001606,"['체험 활동 / 입장 및 관람', '취식']"
g_g001611,['취식']
g_g001612,['휴식']
g_g001614,"['취식', '휴식']"
g_g001615,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식']"
g_g001619,['취식']
g_g001620,"['취식', '휴식']"
g_g001621,['단순 구경 / 산책 / 걷기']
g_g001623,"['단순 구경 / 산책 / 걷기', '취식', '휴식']"
g_g001625,"['쇼핑 / 구매', '취식']"
g_g001627,['취식']
g_g001630,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001640,['취식']
g_g001644,"['단순 구경 / 산책 / 걷기', '취식', '휴식']"
g_g001645,['휴식']
g_g001646,['취식']
g_g001648,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식']"
g_g001650,"['체험 활동 / 입장 및 관람', '취식']"
g_g001651,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001652,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식', '휴식']"
g_g001656,['취식']
g_g001662,['쇼핑 / 구매']
g_g001665,"['단순 구경 / 산책 / 걷기', '쇼핑 / 구매', '취식', '휴식']"
g_g001668,['취식']
g_g001669,['휴식']
g_g001673,['취식']
g_g001674,['체험 활동 / 입장 및 관람']
g_g001677,['휴식']
g_g001678,['단순 구경 / 산책 / 걷기']
g_g001679,['취식']
g_g001681,['취식']
g_g001682,"['쇼핑 / 구매', '취식']"
g_g001684,['단순 구경 / 산책 / 걷기']
g_g001686,['취식']
g_g001689,"['취식', '휴식']"
g_g001690,"['취식', '휴식']"
g_g001692,['취식']
g_g001693,['취식']
g_g001694,['취식']
g_g001695,['단순 구경 / 산책 / 걷기']
g_g001697,"['체험 활동 / 입장 및 관람', '취식']"
g_g001698,['취식']
g_g001700,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식']"
g_g001701,"['쇼핑 / 구매', '체험 활동 / 입장 및 관람']"
g_g001702,['취식']
g_g001703,['환승/경유']
g_g001704,['단순 구경 / 산책 / 걷기']
g_g001708,"['쇼핑 / 구매', '취식']"
g_g001710,['취식']
g_g001715,['쇼핑 / 구매']
g_g001716,['취식']
g_g001718,['취식']
g_g001721,['취식']
g_g001722,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001724,"['단순 구경 / 산책 / 걷기', '휴식']"
g_g001733,['취식']
g_g001734,['단순 구경 / 산책 / 걷기']
g_g001740,['취식']
g_g001741,"['취식', '환승/경유']"
g_g001743,"['단순 구경 / 산책 / 걷기', '휴식']"
g_g001753,['취식']
g_g001755,['취식']
g_g001761,['단순 구경 / 산책 / 걷기']
g_g001763,"['단순 구경 / 산책 / 걷기', '취식', '휴식']"
g_g001764,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람', '취식', '휴식']"
g_g001765,['체험 활동 / 입장 및 관람']
g_g001768,['취식']
g_g001779,['취식']
g_g001780,"['단순 구경 / 산책 / 걷기', '휴식']"
g_g001786,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001789,"['취식', '환승/경유']"
g_g001791,['단순 구경 / 산책 / 걷기']
g_g001794,['취식']
g_g001795,['취식']
g_g001796,['취식']
g_g001797,['체험 활동 / 입장 및 관람']
g_g001798,['취식']
g_g001799,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001803,"['기타 활동', '단순 구경 / 산책 / 걷기', '취식']"
g_g001806,['단순 구경 / 산책 / 걷기']
g_g001810,['취식']
g_g001812,"['기타 활동', '체험 활동 / 입장 및 관람', '취식']"
g_g001818,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001819,['환승/경유']
g_g001826,['취식']
g_g001829,['취식']
g_g001830,['취식']
g_g001832,['쇼핑 / 구매']
g_g001833,['쇼핑 / 구매']
g_g001834,['취식']
g_g001835,"['취식', '휴식']"
g_g001836,['취식']
g_g001837,['취식']
g_g001846,"['취식', '환승/경유']"
g_g001850,"['체험 활동 / 입장 및 관람', '취식']"
g_g001856,['휴식']
g_g001857,"['취식', '휴식']"
g_g001859,"['단순 구경 / 산책 / 걷기', '체험 활동 / 입장 및 관람']"
g_g001866,"['단순 구경 / 산책 / 걷기', '취식']"
g_g001868,['단순 구경 / 산책 / 걷기']
