TRAVEL_ID,ADV_NM,TOTAL_ADV_WON
g_g001619,['기름'],100000
g_g001621,['김밥'],3500
g_g001650,['과일'],20000
g_g001652,['주유'],20000
g_g001662,"['식자재 및 음료', '식자재 및 음료']",86485
g_g001668,"['기차표', '기차표', '기차표']",64700
g_g001682,['쌈장 고추 과자 음료수 불판 반찬 등'],33540
g_g001695,['커피'],4200
g_g001697,['간식 및 저녁식사 재료'],34430
g_g001701,['음식'],37170
g_g001768,['우유 컵라면 음료'],9200
g_g001795,['새우볶음밥; 음료수; 피자(둘째날 아침 차안에서 먹음)'],28940
g_g001819,['여행용 가방'],14690
g_g001829,['캔음료수'],4100
g_g001833,"['삼겹살 음료 과자', '삼겹살 음료 과자']",51190
g_g001856,['음료'],6500
g_g001857,['커피'],1500
g_g001882,['음료수;삶은계란'],9300
g_g001884,['빵.음료수.커피'],15000
g_g001888,['빵'],10400
g_g001891,['전시회 티켓'],18000
g_g001900,['청양 투어패스'],19800
g_g001913,['입장권'],83000
g_g001947,['케이크'],44000
g_g001964,['김밥'],9400
g_g001965,['스타벅스 음료4잔 테이크아웃'],20400
g_g002041,['로씨오호텔숙박권'],90000
g_g002048,"['캠핑요리 재료', '캠핑요리 재료']",30240
g_g002059,['던킨도너츠'],15500
g_g002078,['칫솔'],5600
g_g002098,['부대찌개'],9900
g_g002109,"['떡 롤케이크 주유소 주유비 숙박비', '떡 롤케이크 주유소 주유비 숙박비', '떡 롤케이크 주유소 주유비 숙박비']",77850
g_g002152,['유람선 이용권'],39000
g_g002177,['캠핑장작'],9500
g_g002207,['과자 음료수 물 과일'],25000
g_g002222,['간단한 음료.과자를 구입함'],92660
g_g002232,"['버스 예매', '버스 예매']",64400
g_g002233,['숯 맥주 새우'],75230
g_g002245,['고기와 간식'],104060
g_g002258,['캠핑용품'],20500
g_g002273,"['돼지고기. 과자류. 음료류. 생수. 쌈장 등등', '돼지고기. 과자류. 음료류. 생수. 쌈장 등등', '돼지고기. 과자류. 음료류. 생수. 쌈장 등등']",101920
g_g002416,['음식'],150000
g_g002438,['커피'],18900
g_g002441,['빵'],34500
g_g002460,['간식'],9290
g_g002465,['전북투어패스.전주난장입장권'],63600
g_g002475,['관광곤도라티켓'],72000
g_g002543,['콘서트 입장권'],27000
g_g002552,['음료'],4400
g_g002554,['백제문화단지 입장료'],7200
g_g002565,['커피'],6900
g_g002570,['캠핑장에서 먹을 음식'],50030
g_g002585,['라면 과자 음료'],29160
g_g002593,['식사 (고기 쌈 버섯)'],36850
g_g002616,['수박;복숭아;자두'],45000
g_g002620,['우대갈비'],57500
g_g002622,"['저녁 식사 물품', '저녁 식사 물품']",93860
g_g002624,['컵라면;물등'],13230
g_g002658,['롯데마트 장보기'],73890
g_g002711,['케이크'],24000
g_g002719,['의류(원피스 1; 반팔티 2); 과자(초코송이 24입)'],63440
g_g002735,['햄버거 음료'],10100
g_g002760,['음료 상추 물 등'],34070
g_g002764,"['구명조끼', '구명조끼']",49360
g_g002793,['기름'],50000
g_g002811,"['고속버스승차권 왕복', '고속버스승차권 왕복']",49400
g_g002827,['아쿠아플라넷'],40000
g_g002833,['간식 빵'],19500
g_g002837,['캠핑 음식'],42700
g_g002838,['식료품'],105000
g_g002842,"['유아수영복', '유아수영복']",80920
g_g002854,"['KTX티켓', 'KTX티켓']",234400
g_g002874,"['마트', '마트']",116810
g_g002891,['소고기; 해산물'],352000
g_g002903,['먹거리'],20050
g_g002933,['음료수 2병과 과자 한봉지'],4200
g_g002949,['김밥'],9000
g_g002953,['돼지고기 목살; 막창'],31740
g_g002955,['헤레디움 입장권'],0
g_g002963,"['기차표', '기차표']",16200
g_g002975,['청풍호 모노레일 티켓'],36000
g_g003019,['식품'],84360
g_g003043,['패러글라이딩 체험'],170000
g_g003058,['사전티켓'],3000
g_g003059,"['음료 및 간식', '음료 및 간식', '음료 및 간식']",22000
g_g003065,['홍삼정'],316000
g_g003067,['숙박'],45000
g_g003086,['소고기; 초장; 술; 맥주; 칠리새우; 옥수수콘; 치즈; 물'],62060
g_g003090,['자동차 주유'],61960
g_g003101,['아이스 아메리카노'],2000
g_g003104,['리조트숙박 사전예약'],195960
g_g003121,['버스표'],8700
g_g003130,"['장보기 저녁식사 점심 커피', '장보기 저녁식사 점심 커피', '장보기 저녁식사 점심 커피', '장보기 저녁식사 점심 커피', '장보기 저녁식사 점심 커피']",195250
g_g003177,['마트 고기'],240540
g_g003192,['도시락'],10500
g_g003193,['패러글라이딩 네이버 결제(추후 가게에서 추가금액  한 번 더 결제함)'],88720
g_g003202,['양갈비 새우 빵 과일'],294040
g_g003210,['주유'],50000
g_g003224,['바베큐용 고기; 쌈채소; 음료; 주류; 간식'],29610
g_g003235,['시외버스 승차권'],11400
g_g003243,['차량 가스충전'],29960
g_g003246,"['연극티켓', '연극티켓']",60000
g_g003290,['주유'],40000
g_g003320,['귤'],8000
g_g003329,['편의점에서 컵라면;삼각김밥;햇반'],20100
g_g003352,['해물탕 재료'],17990
g_g003359,['숙소에서 먹을 음식'],200000
g_g003369,['광주 비엔날레 전시 티켓'],26000
g_g003376,['영양바 . 복숭아아이스티2'],11900
g_g003398,['저녁을 위한 먹거리'],109910
g_g003516,['캠핑장 예약'],76000
g_g003526,['고속버스'],16400
g_g003541,['삼겹살'],18000
g_g003556,['김밥 떡'],16000
g_g003559,['먹거리'],109660
